FullName;Country;Party;EPG;Start;End;vote1;vote2;vote3
Jørn DOHRMANN;Denmark;Dansk Folkeparti;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Janusz KORWIN-MIKKE;Poland;Wolność;Non-attached Members;01.07.2014;01 03 2018;2;5;3
Ulla TØRNÆS;Denmark;Venstre, Danmarks Liberale Parti;Non-attached Members;01.07.2014;29 02 2016;1;2;2
Marek PLURA;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Dawid Bohdan JACKIEWICZ;Poland;Prawo i Sprawiedliwość;Non-attached Members;01.07.2014;15 11 2015;5;2;2
Krystyna ŁYBACKA;Poland;Sojusz Lewicy Demokratycznej;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;1;2
Kosma ZŁOTOWSKI;Poland;Prawo i Sprawiedliwość;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
Robert Jarosław IWASZKIEWICZ;Poland;Wolność;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;3;3
Karol KARSKI;Poland;Prawo i Sprawiedliwość;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
Gabriele PREUSS;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;5
Agnieszka KOZŁOWSKA;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Adam SZEJNFELD;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Zdzisław KRASNODĘBSKI;Poland;Bezpartyjny;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
Marek JUREK;Poland;Prawica Rzeczypospolitej;European Conservatives and Reformists Group;01.07.2014;31 12 2019;3;2;2
Bogdan Andrzej ZDROJEWSKI;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Michał MARUSIK;Poland;Kongres Nowej Prawicy;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;3;3
Krzysztof HETMAN;Poland;Polskie Stronnictwo Ludowe;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Michał BONI;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Stanisław OŻÓG;Poland;Prawo i Sprawiedliwość;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
Julia PITERA;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Andrzej DUDA;Poland;Prawo i Sprawiedliwość;Non-attached Members;01.07.2014;25 05 2015;1;2;2
Beata GOSIEWSKA;Poland;Prawo i Sprawiedliwość;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
Jana ŽITŇANSKÁ;Slovakia;NOVA;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;5;5
Stanisław ŻÓŁTEK;Poland;Kongres Nowej Prawicy;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;3;3
Bogdan Brunon WENTA;Poland;Platforma Obywatelska;Group of the European People's Party (Christian Democrats);01.07.2014;13 11 2018;1;2;2
József NAGY;Slovakia;MOST - HÍD;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Branislav ŠKRIPEK;Slovakia;OBYČAJNÍ ĽUDIA;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Richard SULÍK;Slovakia;Sloboda a Solidarita;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Ivan ŠTEFANEC;Slovakia;Kresťanskodemokratické hnutie;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Pál CSÁKY;Slovakia;Strana mad'arskej komunity- Magyar Közösség Pártja;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Josep-Maria TERRICABRAS;Spain;Esquerra Republicana de Catalunya;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;5;2;1
Ernest MARAGALL;Spain;Nova Esquerra Catalana;Non-attached Members;01.07.2014;30 12 2016;3;2;1
Monika VANA;Austria;Die Grünen - Die Grüne Alternative;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;1;1
Michel REIMON;Austria;Die Grünen - Die Grüne Alternative;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;1;2;1
Maria ARENA;Belgium;Parti Socialiste;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Peter ERIKSSON;Sweden;Miljöpartiet de gröna;Non-attached Members;01.07.2014;24 05 2016;2;1;1
Janice ATKINSON;United Kingdom;-;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;5;1;1
Diane JAMES;United Kingdom;-;Non-attached Members;01.07.2014;31 12 2019;2;1;1
Patrick O'FLYNN;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
Raymond FINCH;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
Molly SCOTT CATO;United Kingdom;Green Party;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;2;1
Andrew LEWER;United Kingdom;Conservative Party;Non-attached Members;01.07.2014;08 06 2017;2;2;2
Clare MOODY;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Margot PARKER;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
Edouard MARTIN;France;Parti socialiste;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;3;1
Siôn SIMON;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;2;2;2
Lucy ANDERSON;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Jill SEYMOUR;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;5;5
Bill ETHERIDGE;United Kingdom;-;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;1;1
Seb DANCE;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Jude KIRTON-DARLING;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Paul BRANNEN;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Jane COLLINS;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;5;1
Amjad BASHIR;United Kingdom;Conservative Party;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;1;1
Mike HOOKEM;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;1;1
Jonathan ARNOTT;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
Ian DUNCAN;United Kingdom;Conservative Party;Non-attached Members;01.07.2014;22 06 2017;2;2;2
Theresa GRIFFIN;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Afzal KHAN;United Kingdom;Labour Party;Non-attached Members;01.07.2014;08 06 2017;1;2;2
Julie WARD;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Louise BOURS;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
Nathan GILL;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
Steven WOOLFE;United Kingdom;Independent;Non-attached Members;01.07.2014;31 12 2019;2;1;1
David COBURN;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;2;1;1
Therese COMODINI CACHIA;Malta;Partit Nazzjonalista;Non-attached Members;01.07.2014;23 06 2017;1;2;2
Anneliese DODDS;United Kingdom;Labour Party;Non-attached Members;01.07.2014;08 06 2017;1;2;2
Miriam DALLI;Malta;Partit Laburista;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
James CARVER;United Kingdom;Independent;Non-attached Members;01.07.2014;31 12 2019;1;1;1
Ernest URTASUN;Spain;Iniciativa per Catalunya Verds;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;1;1
Gerolf ANNEMANS;Belgium;Vlaams Belang;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;2
Lynn BOYLAN;Ireland;Sinn Féin;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;5;1;1
Luke Ming FLANAGAN;Ireland;Independent;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;5;5;2
Matt CARTHY;Ireland;Sinn Féin;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Liadh NÍ RIADA;Ireland;Sinn Féin;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Deirdre CLUNE;Ireland;Fine Gael Party;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Fredrick FEDERLEY;Sweden;Centerpartiet;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Lars ADAKTUSSON;Sweden;Kristdemokraterna;Non-attached Members;01.07.2014;23 09 2018;5;2;2
Jytte GUTELAND;Sweden;Arbetarepartiet- Socialdemokraterna;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Malin BJÖRK;Sweden;Vänsterpartiet;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;5;1;1
Bodil VALERO;Sweden;Miljöpartiet de gröna;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;1;1
Max ANDERSSON;Sweden;Miljöpartiet de gröna;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;1;1
Kristina WINBERG;Sweden;Sverigedemokraterna;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;5;1
Peter LUNDGREN;Sweden;Sverigedemokraterna;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;5;1
Soraya POST;Sweden;Feministiskt initiativ;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;3;5;5
Harald VILIMSKY;Austria;Freiheitliche Partei Österreichs;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;2
Hugues BAYET;Belgium;Parti Socialiste;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Igor ŠOLTES;Slovenia;Lista dr. Igorja Šoltesa;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;2;1;1
Franc BOGOVIČ;Slovenia;Slovenska ljudska stranka;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Javier NART;Spain;Ciudadanos – Partido de la Ciudadanía;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;2;1;2
Francisco de Paula GAMBUS MILLET;Spain;-;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Daniel BUDA;Romania;Partidul Naţional Liberal;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Momchil NEKOV;Bulgaria;Bulgarian Socialist Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;5;1
Claudia SCHMIDT;Austria;Österreichische Volkspartei;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Eugen FREUND;Austria;Sozialdemokratische Partei Österreichs;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Cora van NIEUWENHUIZEN;Netherlands;Volkspartij voor Vrijheid en Democratie;Non-attached Members;01.07.2014;25 10 2017;1;2;2
Paul TANG;Netherlands;Partij van de Arbeid;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Agnes JONGERIUS;Netherlands;Partij van de Arbeid;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Matthijs van MILTENBURG;Netherlands;Democraten 66;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;5;5
Anja HAZEKAMP;Netherlands;Partij voor de Dieren;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;3;1;1
Barbara KAPPEL;Austria;Freiheitliche Partei Österreichs;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;2
Marcel de GRAAFF;Netherlands;Partij voor de Vrijheid;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;2
Angelika MLINAR;Austria;NEOS – Das Neue Österreich;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Esteban GONZÁLEZ PONS;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Olaf STUGER;Netherlands;Partij voor de Vrijheid;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;2
Hans JANSEN;Netherlands;Partij voor de Vrijheid;Non-attached Members;01.07.2014;05 05 2015;2;1;2
Annie SCHREIJER-PIERIK;Netherlands;Christen Democratisch Appèl;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Pablo IGLESIAS;Spain;PODEMOS;Non-attached Members;01.07.2014;27 10 2015;2;1;1
Ramón Luis VALCÁRCEL SISO;Spain;Partido Popular;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Teresa RODRIGUEZ-RUBIO;Spain;PODEMOS;Non-attached Members;01.07.2014;04 03 2015;2;1;1
Carlos JIMÉNEZ VILLAREJO;Spain;PODEMOS;Non-attached Members;01.07.2014;31 07 2014;5;5;5
Lola SÁNCHEZ CALDENTEY;Spain;PODEMOS;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;5;1;1
Pablo ECHENIQUE;Spain;PODEMOS;Non-attached Members;01.07.2014;14 03 2015;2;1;5
Anne-Marie MINEUR;Netherlands;Socialistische Partij;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;3;1;1
Maite PAGAZAURTUNDÚA;Spain;Unión, Progreso y Democracia;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Fernando MAURA BARANDIARÁN;Spain;Delegación Ciudadanos Europeos;Non-attached Members;01.07.2014;24 11 2015;1;2;2
Beatriz BECERRA BASTERRECHEA;Spain;Independiente;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Soledad CABEZÓN RUIZ;Spain;Partido Socialista Obrero Español;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Javi LÓPEZ;Spain;Partit dels Socialistes de Catalunya;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;2;2
Inma RODRÍGUEZ-PIÑERO;Spain;Partido Socialista Obrero Español;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
José BLANCO LÓPEZ;Spain;Partido Socialista Obrero Español;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;2;2;2
Clara AGUILERA;Spain;Partido Socialista Obrero Español;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Jonás FERNÁNDEZ;Spain;Partido Socialista Obrero Español;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Paloma LÓPEZ BERMEJO;Spain;Izquierda Unida;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Marina ALBIOL GUZMÁN;Spain;Izquierda Unida;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Maria Lidia SENRA RODRÍGUEZ;Spain;Alternativa galega de esquerda en Europa;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Ángela VALLINA;Spain;Izquierda Xunida;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Josu JUARISTI ABAUNZ;Spain;EH BILDU;Non-attached Members;01.07.2014;27 02 2018;2;5;1
Juan Carlos GIRAUTA VIDAL;Spain;Ciudadanos – Partido de la Ciudadanía;Non-attached Members;01.07.2014;11 01 2016;1;2;2
Jordi Vicent SEBASTIA TALAVERA;Spain;COMPROMIS;Non-attached Members;01.07.2014;09 10 2016;2;2;1
Kostas CHRYSOGONOS;Greece;Coalition of the Radical Left;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;5;3;5
Georgios KATROUGKALOS;Greece;Coalition of the Radical Left;Non-attached Members;01.07.2014;26 01 2015;2;5;5
Georgios KYRTSOS;Greece;Nea Demokratia;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Maria SPYRAKI;Greece;Nea Demokratia;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;5;2;2
Elissavet VOZEMBERG-VRIONIDI;Greece;Nea Demokratia;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Theodoros ZAGORAKIS;Greece;Nea Demokratia;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Manolis KEFALOGIANNIS;Greece;Nea Demokratia;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Notis MARIAS;Greece;Greece-The Alternative Road;European Conservatives and Reformists Group;01.07.2014;31 12 2019;2;2;2
Lampros FOUNTOULIS;Greece;Popular Association – Golden Dawn;Non-attached Members;01.07.2014;31 12 2019;2;2;2
Georgios EPITIDEIOS;Greece;Popular Association – Golden Dawn;Non-attached Members;01.07.2014;31 12 2019;5;5;5
Eleftherios SYNADINOS;Greece;Patriotic Radical Union (PAT.RI.E.);Non-attached Members;01.07.2014;31 12 2019;2;1;2
Sotirios ZARIANOPOULOS;Greece;Communist Party of Greece;Non-attached Members;01.07.2014;31 12 2019;2;1;2
Sofia SAKORAFA;Greece;Independent;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;5;5;1
Kostadinka KUNEVA;Greece;Coalition of the Radical Left;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;3;1;1
Kostas PAPADAKIS;Greece;Communist Party of Greece;Non-attached Members;01.07.2014;31 12 2019;2;1;2
Liliana RODRIGUES;Portugal;Partido Socialista;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;1;2
Miguel VIEGAS;Portugal;Partido Comunista Português;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;3
José Inácio FARIA;Portugal;Partido da Terra;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;1;2
Patricija ŠULIN;Slovenia;Slovenska demokratska stranka;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;5;5
Romana TOMC;Slovenia;Slovenska demokratska stranka;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Helga STEVENS;Belgium;Nieuw-Vlaamse Alliantie;European Conservatives and Reformists Group;01.07.2014;31 12 2019;1;2;2
Johan VAN OVERTVELDT;Belgium;Nieuw-Vlaamse Alliantie;Non-attached Members;01.07.2014;10 10 2014;2;2;2
Claude ROLIN;Belgium;Centre Démocrate Humaniste;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Louis IDE;Belgium;Nieuw-Vlaamse Alliantie;Non-attached Members;01.07.2014;18 12 2014;4;4;4
Eva KAILI;Greece;Panhellenic Socialist Movement - Olive Tree;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Nikos ANDROULAKIS;Greece;Panhellenic Socialist Movement - Olive Tree;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Giorgos GRAMMATIKAKIS;Greece;The River;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;5;5;1
Miltiadis KYRKOS;Greece;The River;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.07.2014;31 12 2019;1;2;2
Iskra MIHAYLOVA;Bulgaria;Movement for Rights and Freedoms;Group of the Alliance of Liberals and Democrats for Europe;01.07.2014;31 12 2019;1;2;2
Curzio MALTESE;Italy;Lista Tsipras-L'Altra Europa;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;2;1;1
Eleonora FORENZA;Italy;Lista Tsipras-L'Altra Europa;Confederal Group of the European United Left - Nordic Green Left;01.07.2014;31 12 2019;3;1;1
Bronis ROPĖ;Lithuania;Lietuvos valstiečių ir žaliųjų sąjunga;Group of the Greens/European Free Alliance;01.07.2014;31 12 2019;1;2;1
Marco ZULLO;Italy;Movimento 5 Stelle;Europe of Freedom and Direct Democracy Group;01.07.2014;31 12 2019;5;1;1
Massimiliano SALINI;Italy;Forza Italia;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Philippe LOISEAU;France;Rassemblement national;Europe of Nations and Freedom Group;01.07.2014;31 12 2019;2;1;2
Jiří POSPÍŠIL;Czech Republic;TOP 09 a Starostové;Group of the European People's Party (Christian Democrats);01.07.2014;31 12 2019;1;2;2
Javier COUSO PERMUY;Spain;Izquierda Unida;Confederal Group of the European United Left - Nordic Green Left;15.07.2014;31 12 2019;5;1;1
Tania GONZÁLEZ PEÑAS;Spain;PODEMOS;Confederal Group of the European United Left - Nordic Green Left;11.09.2014;31 12 2019;0;0;0
Linnéa ENGSTRÖM;Sweden;Miljöpartiet de gröna;Group of the Greens/European Free Alliance;08.10.2014;31 12 2019;0;0;0
Sander LOONES;Belgium;Nieuw-Vlaamse Alliantie;European Conservatives and Reformists Group;14.10.2014;11 11 2018;0;0;0
Urmas PAET;Estonia;Eesti Reformierakond;Group of the Alliance of Liberals and Democrats for Europe;03.11.2014;31 12 2019;0;0;0
Tom VANDENKENDELAERE;Belgium;Christen-Democratisch & Vlaams;Group of the European People's Party (Christian Democrats);06.11.2014;31 12 2019;0;0;0
Emilian PAVEL;Romania;Partidul Social Democrat;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.11.2014;31 12 2019;0;0;0
Enrique CALVET CHAMBON;Spain;Independiente;Group of the Alliance of Liberals and Democrats for Europe;20.11.2014;31 12 2019;0;0;0
Hilde VAUTMANS;Belgium;Open Vlaamse Liberalen en Democraten;Group of the Alliance of Liberals and Democrats for Europe;01.01.2015;31 12 2019;0;0;0
Stelios KOULOGLOU;Greece;Coalition of the Radical Left;Confederal Group of the European United Left - Nordic Green Left;27.01.2015;31 12 2019;0;0;0
Damiano ZOFFOLI;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;18.02.2015;31 12 2019;0;0;0
Miguel URBÁN CRESPO;Spain;PODEMOS;Confederal Group of the European United Left - Nordic Green Left;05.03.2015;31 12 2019;0;0;0
Estefanía TORRES MARTÍNEZ;Spain;PODEMOS;Confederal Group of the European United Left - Nordic Green Left;25.03.2015;31 12 2019;0;0;0
Mihai ŢURCANU;Romania;Partidul Naţional Liberal;Group of the European People's Party (Christian Democrats);02.03.2015;31 12 2019;0;0;0
Pirkko RUOHONEN-LERNER;Finland;Perussuomalaiset;European Conservatives and Reformists Group;27.04.2015;31 12 2019;0;0;0
Edward CZESAK;Poland;Prawo i Sprawiedliwość;European Conservatives and Reformists Group;11.06.2015;31 12 2019;0;0;0
Karoline GRASWANDER-HAINZ;Austria;Sozialdemokratische Partei Österreichs;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;09.07.2015;31 12 2019;0;0;0
Stefano MAULLU;Italy;Forza Italia;Group of the European People's Party (Christian Democrats);13.07.2015;31 12 2019;0;0;0
Jasenko SELIMOVIC;Sweden;Liberalerna;Group of the Alliance of Liberals and Democrats for Europe;30.09.2015;31 12 2019;0;0;0
Xabier BENITO ZILUAGA;Spain;PODEMOS;Confederal Group of the European United Left - Nordic Green Left;25.11.2015;31 12 2019;0;0;0
María Teresa GIMÉNEZ BARBAT;Spain;-;Group of the Alliance of Liberals and Democrats for Europe;25.11.2015;31 12 2019;0;0;0
Czesław HOC;Poland;Prawo i Sprawiedliwość;European Conservatives and Reformists Group;27.11.2015;31 12 2019;0;0;0
Sławomir KŁOSOWSKI;Poland;Prawo i Sprawiedliwość;European Conservatives and Reformists Group;27.11.2015;31 12 2019;0;0;0
João PIMENTA LOPES;Portugal;Partido Comunista Português;Confederal Group of the European United Left - Nordic Green Left;31.01.2016;31 12 2019;0;0;0
Lieve WIERINCK;Belgium;Open Vlaamse Liberalen en Democraten;Group of the Alliance of Liberals and Democrats for Europe;04.05.2016;31 12 2019;0;0;0
Jakop G. DALUNDE;Sweden;Miljöpartiet de gröna;Group of the Greens/European Free Alliance;07.06.2016;31 12 2019;0;0;0
Angelo CIOCCA;Italy;Lega Nord;Europe of Nations and Freedom Group;07.07.2016;31 12 2019;0;0;0
Ivica TOLIĆ;Croatia;Hrvatska demokratska zajednica;Group of the European People's Party (Christian Democrats);24.10.2016;31 12 2019;0;0;0
Željana ZOVKO;Croatia;Hrvatska demokratska zajednica;Group of the European People's Party (Christian Democrats);24.10.2016;31 12 2019;0;0;0
Tiemo WÖLKEN;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;14.11.2016;31 12 2019;0;0;0
John PROCTER;United Kingdom;Conservative Party;European Conservatives and Reformists Group;17.11.2016;31 12 2019;0;0;0
Alex MAYER;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;15.11.2016;31 12 2019;0;0;0
Jordi SOLÉ;Spain;Esquerra Republicana de Catalunya;Group of the Greens/European Free Alliance;03.01.2017;31 12 2019;0;0;0
Arndt KOHN;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;24.02.2017;31 12 2019;0;0;0
Patricia LALONDE;France;Union des Démocrates et Indépendants;Group of the Alliance of Liberals and Democrats for Europe;18.05.2017;31 12 2019;0;0;0
André ELISSEN;Netherlands;Partij voor de Vrijheid;Europe of Nations and Freedom Group;13.06.2017;31 12 2019;0;0;0
Rupert MATTHEWS;United Kingdom;Conservative Party;European Conservatives and Reformists Group;29.06.2017;31 12 2019;0;0;0
John FLACK;United Kingdom;Conservative Party;European Conservatives and Reformists Group;28.06.2017;31 12 2019;0;0;0
Wajid KHAN;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;29.06.2017;31 12 2019;0;0;0
John HOWARTH;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;30.06.2017;31 12 2019;0;0;0
Christelle LETARD-LECHEVALIER;France;Rassemblement national;Europe of Nations and Freedom Group;19.06.2017;31 12 2019;0;0;0
Marie-Pierre VIEU;France;Front de Gauche;Confederal Group of the European United Left - Nordic Green Left;19.06.2017;31 12 2019;0;0;0
